#{"t_start": 1765834259.4885483, "env_id": "None"}
r,l,t
-106.37744,400,76.029185
-113.100139,400,76.67996
-83.014811,400,77.295024
227.706697,1,77.341878
-126.60625,104,78.125708
163.70996,336,81.344635
5.532871,12,81.481053
-20.160312,1,81.522854
-8.381215,118,82.619554
233.308523,1,82.66587
-35.14222,184,84.405008
-76.814116,133,85.729199
-98.840412,212,87.719431
124.963009,133,89.077855
156.062631,143,90.453183
-49.223601,133,91.73812
70.767253,133,93.008403
-31.688205,176,94.690697
257.340797,140,96.073027
40.368505,133,97.372616
52.551709,35,97.749588
261.610145,143,99.11146
156.062642,143,100.478043
233.308523,1,100.524675
-67.295021,400,104.402445
-30.736266,24,104.652436
-54.532109,400,108.576699
156.062633,143,110.004918
-26.480997,400,113.772332
-58.614942,144,115.178193
-20.064828,167,116.718409
22.870608,107,117.759872
233.306901,1,117.804686
-12.358925,400,121.545422
-5.626175,400,125.380907
-155.990686,356,128.709741
-49.734948,400,132.536939
-56.143421,143,133.855176
-21.47952,400,137.712411
40.359139,133,139.063101
-22.501648,7,139.160358
-25.613039,400,143.003292
261.610145,143,144.483567
75.009368,133,145.828411
156.062628,143,147.188493
-19.156898,400,150.934775
-16.41042,400,154.778116
-30.922325,400,158.612417
-59.118898,144,159.975306
-0.954281,400,163.724868
-31.392987,400,167.553131
261.684757,142,168.864501
-17.955382,1,168.907003
156.062628,143,170.268186
-18.942191,400,174.121796
75.009355,133,175.329617
-29.044511,400,179.203282
156.062628,143,180.528862
261.610145,143,181.962422
74.95524,134,183.38393
-22.322865,400,187.1881
-72.819157,241,189.499162
56.139397,216,191.491671
156.062628,143,192.908676
261.610145,143,194.196848
-29.410272,400,197.91264
124.962931,133,199.177934
77.041339,134,200.423187
156.062628,143,201.769317
-18.57536,400,205.458757
206.600049,1,205.501928
40.364606,133,206.765672
156.062628,143,208.155647
-32.001088,400,211.824642
40.365862,133,213.061447
-238.321806,400,216.778648
233.308487,1,216.820908
-32.551538,400,220.493196
260.055691,133,221.707632
260.055691,133,222.965137
261.683983,142,224.350318
156.062628,143,225.696178
40.366578,133,226.917223
156.062628,143,228.260919
-21.499736,400,231.877751
-9.530508,13,232.023
-17.871027,1,232.069124
-19.376668,400,235.757922
260.055691,133,237.016805
-283.735512,253,239.310912
260.055691,133,240.53625
260.052415,133,241.81341
399.937257,400,245.449574
-13.637659,3,245.509896
74.970126,133,246.700023
-39.631717,400,250.357756
156.062639,143,251.783626
-51.869996,20,251.99566
260.055694,133,253.260658
-14.503452,400,256.932913
260.055734,133,258.168807
136.306651,132,259.352906
-39.651988,400,263.238746
674.625669,400,266.883892
-37.277538,400,270.66635
260.056923,133,271.862283
75.009369,133,273.129044
261.680449,142,274.43375
33.71833,26,274.694618
260.061125,133,275.963309
261.610144,143,277.317379
-23.07043,400,281.107188
-133.027776,400,284.782366
-26.119914,400,288.595848
-20.775683,5,288.676963
132.639059,135,289.895251
-287.914457,400,293.662912
-92.501081,207,295.600281
-22.611385,400,299.524645
-27.041746,400,303.252238
260.05622,133,304.620461
-31.365602,400,308.416891
261.610145,143,309.789831
261.645975,142,311.152747
261.647808,142,312.512811
261.67642,142,313.949067
156.062628,143,315.26966
-22.653817,400,319.062876
230.320116,1,319.108766
230.320116,1,319.152067
131.569433,136,320.455038
156.062689,143,321.918941
232.860216,1,321.962688
512.417893,400,325.619369
260.055803,133,326.947276
75.008938,133,328.285929
1026.394905,400,331.962223
129.406807,135,333.215218
527.749197,400,336.869126
-12.381845,400,340.54383
-251.004139,388,344.159682
1129.543704,400,347.888585
7.646225,400,351.608598
-22.626625,400,355.369926
261.610145,143,356.760752
71.29894,148,358.152627
75.000404,133,359.49391
74.999869,133,360.805854
261.610145,143,362.16583
-93.363449,273,364.726192
67.621985,142,366.118363
232.508753,1,366.164845
-0.014448,34,366.498988
398.756428,230,368.584059
75.009261,133,369.902508
230.307078,1,369.948914
260.059686,133,371.260642
-19.312482,400,375.037446
-12.194641,400,378.940275
74.999925,133,380.281562
-7.645646,400,384.312411
67.805993,143,385.740891
260.06673,133,387.109301
-14.486424,400,391.114932
-20.942318,400,395.109919
172.606031,304,398.318912
41.641587,245,400.869644
144.484139,165,402.421135
-98.833981,320,405.668221
230.318891,1,405.709396
52.152696,276,408.377437
-90.01445,271,411.1013
232.678039,1,411.143051
52.342973,270,413.926042
315.829495,170,415.534438
10.231154,262,418.221559
36.048859,142,419.759859
28.46514,400,423.623418
75.009049,133,424.914876
203.054921,163,426.769293
233.234262,1,426.81692
-21.2676,6,426.912273
-77.647643,400,431.164833
235.914835,1,431.209428
-87.122134,400,435.365789
62.181119,134,436.748747
75.001545,133,438.061475
75.001843,133,439.259131
24.720064,21,439.516853
196.930627,166,441.041391
-41.648459,400,444.851918
42.787363,400,448.580611
437.070982,229,450.729729
-27.733771,400,454.470003
75.00909,133,455.706988
-20.923123,6,455.79705
32.148257,400,459.470165
258.573413,400,463.187422
234.301171,152,464.610114
61.492522,133,465.803969
-22.878418,400,469.488786
262.491801,134,470.785076
228.063465,181,472.423535
261.610108,143,473.737399
-24.089219,25,473.996162
75.002473,133,475.299553
407.114608,213,477.192456
-195.928746,382,480.873321
224.994773,174,482.497466
80.432808,400,486.321863
53.286252,139,487.606117
-163.937657,336,490.78811
-32.464297,400,494.545988
260.238978,133,495.780532
25.480369,400,499.594199
59.427584,130,500.806532
204.847278,171,502.447432
251.176781,194,504.260592
