#{"t_start": 1765854108.765417, "env_id": "None"}
r,l,t
890.291353,400,511.942225
55.92069,134,513.193213
-15.417182,7,513.294066
-134.845214,341,516.489634
-41.637106,55,517.047443
1032.91336,300,519.88855
356.544461,193,521.686201
-29.035531,341,524.950896
277.409539,144,526.243667
279.424198,145,527.612276
60.681278,40,528.03358
254.114568,133,529.309741
47.895656,141,530.660733
255.316192,142,532.064975
-39.166892,300,534.871937
-142.492111,341,538.141812
54.934201,133,539.466827
-54.759271,100,540.488738
-13.159613,300,543.39672
233.298523,1,543.443976
-43.575943,341,546.702906
254.11383,133,547.986906
-31.929011,341,551.156908
99.981619,300,554.043469
556.110126,282,556.677666
2.979344,300,559.430277
40.737452,143,560.830745
252.709223,132,562.129873
40.737452,143,563.57061
40.73752,143,564.933874
-28.541868,147,566.366323
196.871456,400,570.104334
-31.07259,159,571.64735
-67.050696,341,574.782437
254.114568,133,576.110261
-20.527796,300,578.894
891.925951,400,582.64444
-23.549317,300,585.561421
233.298523,1,585.607351
892.483847,400,589.356102
34.601224,27,589.630045
-104.841832,341,592.83683
-69.231599,183,594.546105
254.113906,133,595.81823
1057.887405,300,598.653403
-51.903484,341,601.830324
98.15261,300,604.632279
255.35036,142,605.952887
1077.789904,300,608.834317
-40.3023,341,611.977437
255.35036,142,613.371233
54.690649,133,614.652606
-60.912057,173,616.282326
254.114017,133,617.631105
252.39602,132,618.934544
233.298523,1,618.977247
254.113872,133,620.228454
-64.845294,341,623.397731
-52.079559,341,626.716562
254.114568,133,628.031006
54.822291,133,629.316458
337.445274,341,632.574697
49.561431,300,635.385866
344.42956,341,638.567646
25.601717,157,640.011778
72.231023,172,641.664546
233.298523,1,641.710973
11.47908,400,645.496174
-7.105753,400,649.219993
62.853697,300,652.131187
254.28765,133,653.412508
40.737479,143,654.757031
-11.941959,4,654.842397
53.23198,300,657.664188
315.975448,341,660.874876
8.389201,400,664.654901
40.737605,143,666.031997
40.737461,143,667.432392
59.215513,39,667.818908
-58.331931,94,668.75598
-28.940087,341,672.002467
91.06415,300,674.870333
-26.19902,138,676.162901
1064.388362,300,679.028328
572.514986,400,682.919378
-23.701105,22,683.15923
222.084305,1,683.206064
40.737571,143,684.576513
-83.484255,181,686.384175
233.298523,1,686.429135
255.350477,142,687.782291
233.298523,1,687.829089
254.295913,133,689.140663
-11.407027,300,691.976908
-21.295876,18,692.177898
-3.740184,215,694.298542
254.273531,133,695.576788
-23.369896,13,695.737795
233.298523,1,695.780278
-24.903217,132,697.217996
299.602871,341,700.440359
-9.984553,5,700.518993
255.350477,142,701.839525
40.737655,143,703.284608
40.737932,143,704.634228
207.85529,1,704.681639
254.182466,133,705.957659
27.503329,131,707.279654
-87.024633,196,709.139044
254.279773,133,710.46484
429.187745,241,712.792925
40.737478,143,714.142153
233.298523,1,714.190855
54.909848,133,715.519889
1059.604115,300,718.396646
54.809519,133,719.790211
254.11393,133,721.008735
40.737468,143,722.454128
1040.25596,300,725.312932
233.298523,1,725.355455
-15.081997,400,729.215616
54.686635,133,730.558693
35.738852,130,731.773609
17.307978,132,733.062076
38.598637,300,736.044324
-33.740655,341,739.278815
-25.892401,300,742.114373
254.1147,133,743.45664
8.62,300,746.319664
326.963806,296,749.21421
