#{"t_start": 1765854108.7652771, "env_id": "None"}
r,l,t
-94.697481,341,69.146339
-85.475304,341,69.896473
4.778096,300,70.522191
226.404667,1,70.573813
-87.416044,400,73.062909
233.298523,1,73.119174
114.765892,133,74.48645
-71.347777,133,75.746417
-71.347777,133,77.03365
30.172616,133,78.307964
-123.74235,328,81.494801
233.298309,1,81.540686
-67.726782,119,82.740311
-249.492586,341,85.843045
-239.643194,263,88.396106
255.232221,143,89.71475
-83.759172,137,91.004462
255.237963,143,92.423163
-55.444094,75,93.221069
-14.221997,300,96.053925
323.394032,341,99.356099
251.390307,140,100.680874
0.407775,341,103.893307
156.677618,143,105.279597
-76.982822,133,106.550891
-37.527196,191,108.363282
240.889871,1,108.404712
-83.091817,134,109.691131
5.338417,341,112.89418
255.231815,143,114.285104
-82.648272,133,115.557646
44.827136,300,118.43462
255.351109,142,119.745008
24.251079,371,123.154739
-113.26946,347,126.45366
255.231763,143,127.761885
156.648242,143,129.146014
233.298496,1,129.188067
-76.980801,133,130.418868
254.123345,133,131.688955
71.566197,133,132.977578
-50.61628,172,134.693127
112.475632,156,136.186129
-82.601094,133,137.470847
255.350445,142,138.868747
-18.36652,341,141.959913
-82.565362,133,143.303658
0.485769,341,146.569625
233.298516,1,146.610953
-24.475934,341,149.881265
254.114576,133,151.189537
73.590016,133,152.511055
255.349954,142,153.936643
233.298508,1,153.977371
-175.701164,341,157.185929
255.231779,143,158.511244
-82.617404,133,159.856252
254.123345,133,161.089715
369.025311,183,162.801077
-27.4589,143,164.190324
888.570262,400,167.894735
-82.643467,133,169.239306
47.556469,141,170.675583
44.611483,300,173.50673
-248.139954,266,175.910562
-7.98837,6,175.997629
-10.934467,300,178.893156
86.628305,210,180.942427
255.231681,143,182.267587
-22.162793,14,182.427169
234.024327,300,185.349904
233.295031,1,185.393019
255.231646,143,186.750015
233.297014,1,186.792238
71.486235,134,188.072017
254.123345,133,189.383959
254.11388,133,190.589122
-15.310938,341,193.868138
-34.569469,341,197.159498
71.595377,133,198.433377
-27.312865,142,199.848779
-30.242635,341,202.99406
233.295978,1,203.039539
-25.045012,300,205.802933
26.64446,341,209.016868
-36.310552,341,212.325501
-10.996042,300,215.103401
233.289457,1,215.143984
-20.52442,1,215.188767
-25.046711,341,218.418727
294.793043,400,222.107315
260.526343,146,223.449689
-134.815362,300,226.26924
258.993843,144,227.672688
82.205796,341,230.969185
-82.573232,134,232.176782
905.804512,300,235.083433
233.246398,1,235.126166
903.654876,300,238.047649
254.123336,133,239.355954
109.565861,341,242.475156
48.948596,341,245.78959
254.116555,133,247.063642
159.360885,145,248.439925
73.668728,133,249.720585
160.665597,142,250.997143
26.420636,299,253.838727
233.201199,1,253.879764
-30.686091,341,257.117468
40.671765,300,260.018342
61.146973,135,261.343583
248.527072,130,262.625678
43.473682,341,265.869263
-29.105299,27,266.133892
-83.028781,133,267.405247
157.744343,139,268.689107
233.26316,1,268.734818
195.488348,400,272.573636
-87.513396,300,275.320989
73.650186,133,276.612158
185.220402,400,280.296673
-83.406532,135,281.595281
-47.133737,300,284.430083
158.112468,140,285.727187
255.345807,142,287.147952
330.075846,341,290.267134
233.938789,1,290.312607
71.571359,341,293.47885
233.298239,1,293.524287
233.298239,1,293.565332
254.123345,133,294.915081
307.257136,167,296.486023
252.500822,132,297.794666
73.643284,133,299.113528
73.617539,133,300.356387
254.123345,133,301.639839
-23.25386,160,303.184063
-16.80761,300,306.107336
324.24028,175,307.822551
233.298509,1,307.866947
254.123345,133,309.091099
233.298516,1,309.13652
-14.67857,300,311.964527
-82.602642,133,313.240177
208.053561,148,314.694513
255.328913,142,316.04386
-81.708316,131,317.426381
73.587859,133,318.668575
-39.16377,193,320.552974
84.991721,341,323.691885
-21.864725,300,326.628094
255.325604,142,328.026757
