#{"t_start": 1765854108.7653036, "env_id": "None"}
r,l,t
-85.290623,300,68.975537
227.949567,1,69.025319
-85.223524,300,69.655521
-84.6566,341,70.398774
-0.720338,300,71.086798
-20.2394,1,71.136704
242.84425,296,74.705089
-81.064547,133,75.966364
30.172616,133,77.254701
254.123345,133,78.529759
154.632628,143,79.901693
30.158908,133,81.138051
233.298523,1,81.182599
-21.478816,6,81.26818
254.123346,133,82.620556
-234.963975,341,85.720697
-76.949592,133,86.999313
114.815126,133,88.235314
233.296863,1,88.275588
233.296828,1,88.320664
32.299165,213,90.345918
-76.969218,133,91.680502
156.641375,143,93.061974
71.541077,133,94.372583
-76.982118,133,95.600939
154.634227,143,96.98979
233.29852,1,97.030171
-20.201045,1,97.073482
156.65676,143,98.446872
-2.721948,341,101.617392
156.691793,143,102.967719
-24.23531,127,104.18631
-83.322677,134,105.492687
-93.088735,257,107.880968
-83.093897,134,109.198737
-71.47074,223,111.34284
10.808223,300,114.174561
255.365597,142,115.553028
255.231793,143,116.908502
-28.383706,156,118.387167
-63.571552,205,120.326295
-359.129052,356,123.601223
255.350545,142,124.942368
-57.23118,189,126.754226
254.123345,133,127.98364
-120.172384,399,131.811996
255.350366,142,133.176885
-76.9795,133,134.482866
114.766086,133,135.773624
-76.977848,133,137.060009
-14.260502,400,140.829557
156.703061,143,142.174044
-65.743079,341,145.48076
-76.980504,133,146.787457
255.350434,142,148.138624
233.298517,1,148.183689
255.350479,142,149.495113
-28.24082,120,150.660581
-80.307268,274,153.383839
255.34971,142,154.781924
254.123345,133,155.980162
-12.705686,341,159.293203
-117.05968,230,161.521806
255.231798,143,162.841214
-27.458392,143,164.234683
-82.638176,133,165.47385
-79.060657,142,166.741353
-3.464368,341,170.111543
0.362721,341,173.293049
58.923739,182,174.990891
244.949398,157,176.549971
254.123345,133,177.797887
254.123345,133,179.078619
233.296953,1,179.119747
-28.002784,145,180.493926
-242.717764,265,183.033142
233.293928,1,183.079389
254.123344,133,184.352057
73.472268,134,185.670525
-80.118055,251,188.116558
-158.499615,334,191.38278
920.218365,300,194.150656
105.423281,341,197.44025
-23.70331,341,200.733378
-157.357762,238,202.882154
-37.173459,341,206.147482
255.231749,143,207.472623
-25.267779,341,210.647834
-82.625372,133,211.990238
157.959295,140,213.330115
-43.230909,341,216.524976
262.547699,146,217.870961
-17.515065,300,220.649351
254.123345,133,221.928114
913.915668,300,224.721197
155.434588,300,227.578427
256.922076,144,228.915469
-82.400101,133,230.233465
212.066362,1,230.27845
29.453806,341,233.48046
255.231751,143,234.870216
73.669848,133,236.223695
-73.898869,300,239.133193
899.360112,300,241.903718
255.231736,143,243.286196
584.589853,234,245.452777
-11.181574,142,246.880711
73.664936,133,248.15001
61.848691,341,251.394267
-39.858078,300,254.313184
247.401821,400,258.082314
2.537751,11,258.21119
248.466459,130,259.38843
