#{"t_start": 1765834259.4971366, "env_id": "None"}
r,l,t
207.117635,1,75.344107
-180.438601,400,76.092548
-50.900901,218,77.654191
23.50533,400,78.585147
233.308523,1,78.625335
-53.122286,400,80.59423
-96.519465,400,82.521333
27.439988,400,84.428984
11.641802,400,86.303965
8.814979,400,87.215968
433.913513,400,89.053537
486.308944,400,90.930707
18.546192,400,92.956201
526.732674,400,94.934615
-59.021499,400,95.809487
-8.76511,400,97.640328
-131.873769,400,99.471454
644.950518,400,101.39115
-42.803224,400,102.292906
206.733057,1,102.331555
1098.930249,400,104.275727
-46.625574,400,106.175303
16.273707,400,108.104297
1202.833039,400,109.969718
-41.706409,400,110.723232
-20.783946,400,112.688283
-58.368842,94,112.934259
-37.66762,400,114.765802
-15.658676,400,116.585878
16.834353,400,118.451012
-29.510085,400,119.365435
-75.125803,400,121.230207
233.308523,1,121.268538
-70.445073,400,123.093415
-10.160706,400,124.989511
-50.325967,400,126.913504
-23.687122,23,126.985203
-46.513402,81,127.178506
13.129335,400,129.115523
-23.482619,21,129.183696
-25.646061,400,130.050881
-21.145974,7,130.099417
-89.38558,400,132.051328
-89.308531,400,133.993388
541.723799,400,135.908648
819.241591,400,136.767853
233.308523,1,137.886353
233.308523,1,137.925894
-38.162987,400,138.668911
-30.66182,59,138.90674
232.499283,1,138.9451
7.334216,400,140.791018
232.928454,1,140.830191
233.308523,1,140.868224
1.243188,400,142.782368
233.308523,1,142.820781
-31.562262,400,144.643721
41.273309,400,146.621146
37.128936,400,147.375141
542.522124,400,149.202649
2.039988,400,151.122025
5.971256,400,153.073197
499.76533,269,153.623079
1478.068794,400,155.5704
-29.795284,400,157.43621
488.016539,260,157.98545
-27.758714,400,159.847986
663.600237,400,161.708367
580.152679,400,163.591899
102.862183,400,164.496508
-109.631635,193,166.029796
229.150476,1,166.068022
-89.655953,400,168.087038
-9.950345,311,168.758187
93.333083,400,170.652882
847.241449,400,172.594071
1363.978162,400,173.481265
-61.789512,400,175.378735
-50.709227,400,177.242816
-20.288712,331,178.981444
233.308523,1,179.01991
-75.662874,400,179.864
20.049381,400,181.700292
1200.55125,400,183.585374
12.045412,400,185.488034
64.272632,400,187.495749
-15.944513,400,188.351065
432.998429,229,189.861199
46.083543,400,191.783152
340.902112,199,192.280589
489.421727,234,192.75286
233.308551,1,192.790562
-69.969347,400,194.663691
-47.234919,400,196.523185
84.751235,400,198.377987
-42.798252,400,200.307186
138.7803,400,201.254566
17.57425,400,203.176911
51.992453,400,205.105418
465.072454,400,206.967992
-118.029973,400,207.852962
853.347459,400,209.68394
-41.839913,400,211.670906
162.203201,400,213.685319
17.977137,400,215.669707
-16.021973,260,216.208726
-56.316055,400,218.064492
225.423815,325,219.774987
-58.040494,400,220.525114
233.308523,1,220.563439
-32.121809,339,222.307226
153.945922,400,224.141504
-33.817865,400,225.976683
-148.188216,400,226.765247
-39.036659,400,228.711666
145.129152,400,230.599245
882.090664,400,232.532233
233.308523,1,232.570715
-52.943855,92,232.746005
-125.275667,279,233.324693
19.28109,400,235.190252
-19.886778,3,235.232059
-43.854149,400,237.26424
233.090898,1,237.302626
-35.317138,400,239.254683
-36.819388,400,241.19426
233.308523,1,241.232687
407.196684,252,241.810263
42.808699,400,243.817148
-48.450125,400,245.793449
-16.531259,400,246.668403
61.391201,400,248.555859
-14.002082,14,248.61256
59.753015,400,250.461562
887.159367,400,252.339356
-33.762357,400,254.263239
-43.28074,400,254.972362
688.335471,355,256.756876
