#{"t_start": 1765854108.7637842, "env_id": "None"}
r,l,t
87.393726,341,366.079757
-107.345131,270,366.620558
718.993541,364,368.424017
27.891256,341,369.176713
27.958143,302,370.840509
415.568077,235,372.534986
164.251445,336,373.316532
881.834955,400,375.444178
42.923367,341,377.272653
-29.916072,300,377.88467
233.298523,1,377.922717
113.344707,341,379.70437
70.519857,341,381.471639
-35.867747,300,382.097118
722.999564,341,383.841072
89.109918,341,384.640096
367.998134,341,386.496049
22.329444,252,388.149492
415.2883,300,388.849818
233.298523,1,388.887893
-40.267553,341,390.665101
32.790182,310,391.279976
236.447419,1,391.318336
-15.986297,16,392.449116
-55.408494,400,393.375126
342.582574,195,394.902428
232.920232,1,394.940176
80.47814,341,395.709112
-46.489036,400,397.633923
-45.406925,400,399.578801
903.565607,400,401.535925
-57.694815,300,402.167125
620.326831,341,403.977127
-47.902948,400,405.947411
51.516578,236,406.480312
616.116802,341,408.26518
-38.795559,300,408.936464
-20.477966,2,408.97651
-48.491415,300,410.659629
-56.621539,400,412.552397
210.629727,1,412.590642
-39.747539,400,414.517347
-92.676349,230,415.003387
625.211341,341,416.84285
-15.671301,7,416.888832
521.255099,341,417.571207
233.23068,1,417.611214
7.684484,341,419.40365
-129.882963,332,421.152437
117.43194,341,421.84264
123.809118,341,423.653221
-13.998127,3,423.693709
996.742789,300,425.405803
433.984152,300,426.150396
59.632783,341,427.943279
689.290887,351,429.780907
-127.286316,334,430.419531
-56.490695,300,432.103458
233.298523,1,432.142257
129.82684,283,432.781985
421.986748,227,434.274175
-72.351484,400,436.236506
228.332551,1,436.274793
-2.58284,32,436.397671
233.006688,1,436.435556
72.734612,341,437.117168
233.298523,1,437.155234
171.931354,341,438.955464
898.343393,400,440.887201
233.298523,1,440.925206
70.065403,341,441.57548
218.22403,341,443.336888
-38.186703,300,445.027645
-6.387977,29,445.140928
-51.624386,300,445.805196
453.764878,300,447.479173
233.298523,1,447.517243
484.359492,341,449.335035
131.316942,341,450.030592
1037.059644,300,451.73329
233.298523,1,451.771387
233.298523,1,451.808258
453.788688,248,452.358029
233.298523,1,452.395905
406.110968,220,453.870612
484.266424,300,454.469611
403.753919,221,456.049957
-51.059781,300,456.717182
-15.998622,2,456.755933
292.300966,400,458.620532
234.238009,1,458.661083
-45.545065,300,460.391477
381.148715,205,460.808802
-128.171889,368,462.575823
139.501514,341,463.287169
-39.751852,400,465.31678
233.298523,1,465.355456
575.710827,341,467.159659
310.425372,400,469.164874
-39.353567,300,469.829584
987.326169,300,471.459195
56.922956,253,472.009645
515.990094,341,473.793333
233.298309,1,473.831557
68.18452,341,475.608698
294.973154,400,477.53458
233.298523,1,477.572533
40.006004,341,478.403836
233.298523,1,478.441888
-43.487087,400,480.397396
233.298523,1,480.435849
417.648428,227,481.010679
133.630429,300,482.702212
421.635528,226,483.28861
-35.608111,400,485.151287
291.587001,400,487.217093
808.575367,400,489.120477
384.692472,208,489.596301
596.73694,262,491.234479
3.122698,341,491.89273
-15.676309,10,491.944062
505.962337,300,493.630245
233.298523,1,493.668465
233.298523,1,493.70541
427.233217,230,494.258604
-23.156622,326,495.997293
558.79929,341,497.799505
55.654255,294,498.43226
1037.835805,300,501.097319
128.579318,340,502.856131
-46.221502,400,503.701253
897.200188,400,505.556384
439.059407,300,507.315215
-6.764941,25,507.389706
882.957961,300,508.098403
275.659541,341,509.818539
303.552831,400,511.71353
-42.905966,300,512.360234
898.586037,400,514.22887
62.877305,220,515.781334
625.525293,341,516.452408
-277.314347,341,518.253199
9.059446,341,520.081366
233.298523,1,520.119457
27.220647,23,520.225127
291.554006,400,520.966313
1041.024867,300,522.69222
562.337866,300,524.438894
-51.377646,300,525.04162
55.383996,229,526.582826
362.665593,201,527.046545
1037.050711,300,528.853176
70.398957,251,529.340647
105.0708,341,531.071658
233.298523,1,531.109937
-49.436695,400,533.00354
365.933248,200,533.448677
-39.272716,400,535.338507
1056.980657,300,535.973921
44.443044,117,537.287905
309.258812,400,538.252788
415.901853,224,539.785245
-332.590925,341,540.56556
22.503679,341,542.319464
897.286216,400,544.185878
-30.992038,300,544.800771
-111.304741,289,546.454166
18.397347,341,548.196327
23.742721,250,548.709968
10.637002,226,550.221803
233.298523,1,550.261606
447.521491,240,550.789878
-47.284329,111,551.022269
60.476844,341,552.763856
415.789559,227,553.248979
143.934592,326,554.956333
-35.831471,300,556.622552
-29.206762,300,557.363768
207.994367,1,557.402224
47.126734,238,558.996035
85.319764,341,559.708384
19.02366,19,559.778291
892.918712,400,561.68042
411.388989,231,563.229826
843.370728,400,564.067316
-29.212176,400,565.898349
414.36443,221,567.539086
-23.936913,300,568.097588
337.58385,182,569.583582
312.265783,341,570.29816
142.993727,289,572.091503
597.209124,341,572.835063
424.962683,341,574.555858
-95.890652,251,576.185803
-89.248321,224,576.657042
554.613194,282,578.31468
447.329849,300,578.87505
454.046962,300,580.621053
295.094673,341,581.273371
-32.464965,300,583.020153
129.878131,341,584.751555
-41.684531,400,585.690876
