#{"t_start": 1765834259.4971366, "env_id": "None"}
r,l,t
220.076665,1,75.344112
-115.406893,400,76.09252
-138.641433,400,78.06996
-22.323976,11,78.159388
-104.254253,400,80.177005
199.859658,400,82.110415
202.858423,400,82.997409
-109.139354,400,84.828415
-135.137838,400,86.747203
233.308523,1,86.785439
49.222148,400,88.699452
-55.273279,400,90.543934
39.426449,400,91.430972
229.196186,1,91.469416
-56.745475,400,93.436301
-77.378459,400,95.34617
233.104766,1,95.384464
-124.905851,400,97.299447
-136.31131,400,98.040244
-37.94861,400,99.886027
233.308523,1,99.924199
-54.787013,400,101.837015
-50.959662,400,103.78354
718.868423,400,105.75405
20.930918,400,106.570279
209.457358,1,106.608906
-70.494343,400,108.433558
83.183713,400,110.374333
-33.68517,400,112.23235
224.898997,1,112.270703
149.258271,400,114.244533
-100.995586,357,114.890382
25.62479,400,116.711971
233.308523,1,116.750299
206.594109,400,118.579556
-1.92483,16,118.641902
-39.315538,400,120.593645
233.308523,1,120.632525
7.376842,400,121.416346
-1.841506,400,123.248519
-32.106369,35,123.375878
-18.858699,400,125.236876
-25.04607,400,127.225779
1544.200407,371,127.925604
228.33988,1,127.965783
198.111915,400,129.939992
-28.27296,400,131.928425
159.462659,400,133.882777
-84.902467,400,135.798104
5.952412,400,136.660396
1451.684394,400,138.555244
64.857939,400,140.549638
-82.738311,400,142.465057
1518.143892,359,143.226487
-0.336156,400,145.138098
8.338285,400,147.060725
-29.522943,400,148.898408
29.541271,400,150.816927
-130.563232,328,151.503758
1607.291274,379,153.376826
-109.778226,382,155.2607
469.481984,251,155.786928
-4.308376,400,157.651036
-9.730786,9,157.702574
73.399434,400,159.602167
125.871058,400,161.433435
233.308523,1,161.47192
36.000517,400,162.246501
190.969112,400,164.147729
-21.159845,118,164.400142
233.308523,1,164.437666
450.981512,255,166.183678
-29.737948,400,168.192887
228.659995,1,168.231062
6.978881,400,169.087157
-67.919404,400,170.948099
738.534622,400,172.920997
1542.137186,379,174.816694
-24.977555,400,175.661767
-59.891008,400,177.498296
-139.202941,400,179.436976
1137.872116,400,181.332521
638.827547,400,183.226287
481.87994,400,183.997429
29.273639,400,185.903195
-30.245223,400,187.837957
8.069399,400,189.755209
60.220427,400,191.678454
336.554357,194,192.119359
-29.845938,400,194.123456
118.724198,400,194.872651
-34.715106,400,196.770931
-14.816743,348,198.551328
232.592309,1,198.589357
856.294683,400,200.47656
233.308523,1,200.515094
-42.956187,400,201.448769
-22.933616,17,202.591726
-47.783918,400,203.43592
868.152963,400,205.300576
457.002418,239,206.809139
157.077951,400,207.682931
-49.010911,238,209.282372
-27.411964,354,209.972743
-91.263385,400,211.993878
355.457471,195,213.486251
857.395585,400,214.414572
363.030586,197,215.899878
-30.088704,400,217.726834
-57.37047,400,218.465356
-20.637934,4,218.508695
-56.111923,400,220.375078
24.020128,400,222.245831
-34.945851,400,224.078935
-54.366642,400,225.916495
81.643741,400,226.67024
233.308523,1,226.708606
55.031368,400,228.652228
-40.497974,400,230.541556
874.30716,400,232.471925
1301.299743,400,233.416754
182.322183,400,235.320089
2.010401,282,236.998043
34.019221,400,239.051817
-98.148847,254,239.54497
233.653029,1,239.585173
-35.02635,400,241.481766
-47.03349,400,243.506831
-5.281975,310,244.234187
-32.130914,400,246.151585
633.398647,400,248.115289
233.308523,1,248.153673
477.833148,400,250.073179
605.407353,400,250.858513
124.12539,400,252.73318
-26.594146,400,254.616042
648.288124,400,256.427829
-13.315606,16,256.490409
214.369492,400,257.272309
449.446666,238,258.83348
-25.675703,400,260.753058
47.173142,400,262.659294
-46.693216,400,263.418398
210.970468,400,265.323675
423.476641,224,266.871767
383.708858,206,267.303091
104.255888,400,269.2494
-27.411726,400,270.114061
369.180681,198,271.662924
389.57787,208,272.108373
464.980824,246,273.742766
92.961021,400,275.642327
-43.426157,400,276.391791
143.118324,400,278.373863
-4.040751,400,280.374354
233.308523,1,280.412645
1167.337786,400,282.378429
233.308523,1,282.416719
233.308523,1,282.453771
-61.555816,400,283.266433
-21.874632,400,285.2539
7.20788,400,287.195786
-33.168613,400,289.245076
-99.390624,257,289.892807
-20.16046,1,289.931514
641.571677,400,292.053484
126.435888,400,294.226261
491.546181,400,296.394869
64.957726,400,297.173663
-47.652514,400,299.310498
-26.862429,36,299.401858
353.9232,203,301.215923
-22.010932,400,302.138867
1373.502536,400,304.401672
-130.598761,374,306.522058
-20.779966,5,306.567286
-38.157435,400,308.728986
12.305063,400,310.988863
-36.692078,400,311.773935
427.069715,230,313.572377
-31.195567,400,315.755333
275.625067,400,316.656472
-43.765583,393,318.641278
884.76246,400,321.059683
357.75384,191,321.475571
58.918541,400,323.457695
215.419044,1,323.496554
10.890075,294,325.514009
-58.617734,400,326.401628
-43.379747,400,328.854224
-44.992247,400,331.311196
568.521993,244,331.875856
-49.857934,124,333.697188
-10.944451,400,334.616193
675.594211,400,336.584731
85.404683,400,338.475996
60.379517,400,340.343751
389.423041,224,340.860113
649.204073,400,342.77471
343.125769,195,343.138697
-103.634667,376,345.037321
232.683804,1,345.075397
45.468324,400,347.003379
-17.683176,400,348.8436
159.598428,400,349.596294
3.077737,349,351.423033
274.733834,400,353.340935
-38.719593,400,355.267356
233.308523,1,355.306134
916.757517,400,357.184535
1135.12687,400,358.062242
-92.962595,400,360.005862
43.335481,400,361.887906
233.308523,1,361.926393
71.911422,400,363.75314
648.568405,400,364.547988
388.682907,213,366.151764
232.648524,1,366.190213
380.131652,213,366.625185
350.973564,195,368.197563
-20.119247,400,369.119586
-93.872318,400,370.981891
93.528153,400,372.883877
56.363021,400,374.882373
439.648382,224,375.374405
63.28326,400,377.23525
73.59396,400,379.080462
0.451341,10,379.135644
1496.799615,400,381.094647
852.979771,400,381.853189
-41.614345,400,383.945691
1671.920808,389,385.867142
148.823048,324,387.674536
-88.581853,400,388.527972
52.445789,400,390.470183
295.564861,400,392.406316
204.789902,400,394.356399
86.17355,400,395.177251
569.234137,283,396.872
627.279097,400,398.907261
252.191489,400,400.861717
-86.702569,400,401.647073
284.428001,400,403.497071
