#{"t_start": 1765834259.4971495, "env_id": "None"}
r,l,t
-20.46,1,75.344224
233.308523,1,75.385361
-56.685764,400,76.133111
-134.412661,400,78.108074
99.230779,400,80.12315
12.897961,400,82.05721
197.560674,400,82.946865
7.956217,400,84.77431
-100.19068,400,86.695333
35.963404,400,88.646924
-78.224812,400,90.492273
534.437341,400,91.374867
-107.937426,400,93.376402
-72.916642,400,95.289068
66.69489,400,97.243514
617.804857,400,97.985259
-96.403723,400,99.822763
9.173666,400,101.775877
650.724217,400,103.725592
-28.085257,25,103.836577
-47.857704,400,105.809127
-49.487558,400,106.660832
114.704307,400,108.484093
616.424264,386,110.332767
-35.521449,400,112.190701
-22.16901,400,113.126285
418.891404,400,114.982266
-11.704059,400,116.840952
-21.268049,400,118.71154
-26.952758,28,118.78861
624.08515,371,120.694765
166.494842,400,121.481592
693.695059,400,123.31563
-47.113989,400,125.172673
33.066688,400,127.130663
-69.031443,291,127.716405
421.229156,262,129.429703
37.86333,400,131.454556
-69.489106,400,132.371195
-77.944738,326,134.09547
755.378843,400,136.009194
-30.060371,400,138.024718
12.6113,400,138.769858
233.308523,1,138.807973
230.361344,1,138.844922
103.720529,400,140.723662
-57.16101,400,142.645198
-5.692936,400,144.578038
25.882704,400,145.476464
389.47289,226,146.962677
689.168374,400,148.803259
365.455759,239,149.306459
233.308523,1,149.344503
-28.471755,400,151.225549
438.416564,243,151.748119
366.9535,203,153.249789
-62.862226,287,153.86771
-26.661876,50,153.9868
347.047816,191,155.460376
18.179811,400,157.287942
233.308523,1,157.326185
8.095215,400,158.22171
40.226038,400,160.058909
44.372447,400,161.91775
729.214525,400,163.801342
11.8982,400,165.83571
446.468681,257,166.41824
226.410195,1,166.456684
-76.895454,400,168.426483
433.427079,254,168.978673
54.085241,400,170.84311
-55.714344,400,172.780069
233.308523,1,172.818417
-178.230402,400,174.755438
858.323677,400,175.599818
-34.396686,400,177.433743
-87.438754,400,179.370643
248.093557,400,181.271206
-37.317694,400,183.166954
17.865989,400,183.933183
366.248039,228,185.446209
93.168197,400,187.452642
826.975915,400,188.309286
-70.232061,400,190.223253
57.952314,400,192.183251
398.650847,400,194.185898
524.002933,400,196.015372
616.523117,333,196.661485
868.223175,400,198.627409
135.23188,400,200.552815
352.788461,206,200.978078
-23.401866,400,202.911805
214.872139,400,204.88179
-41.42785,400,205.615976
183.544235,400,207.523469
233.308523,1,207.561885
205.70272,285,209.245264
-13.011441,367,211.106554
37.774717,31,211.187586
127.985123,400,212.113214
172.0969,400,214.040575
-18.788231,44,214.158309
-47.70526,233,215.754175
-29.100514,400,216.498805
326.287247,182,217.963707
-50.459967,400,219.855903
1052.877564,400,220.677295
-38.694802,400,222.52037
-94.352705,400,224.354479
-57.333356,379,226.119151
874.177339,400,226.908893
233.308523,1,226.947357
-34.015402,71,228.210624
9.389816,400,228.965576
233.308523,1,229.004033
41.682831,400,230.850632
421.646063,235,232.422285
76.816834,400,233.367764
-40.065772,400,235.270269
800.888871,400,237.339165
187.859266,400,239.293396
-139.765683,325,239.930347
454.489818,257,241.572639
233.308523,1,241.610892
-28.835893,400,243.614765
30.791644,400,244.507852
212.27596,400,246.436453
233.308523,1,246.474938
31.836485,400,248.384122
11.110428,271,250.035875
41.219538,400,250.821231
431.087706,400,252.694381
233.308523,1,252.732962
-46.714496,400,254.616171
-44.639664,400,256.427902
-58.236711,400,257.207915
408.405691,212,258.735655
917.529503,400,260.652395
33.178759,400,261.454039
-58.842126,400,263.317331
914.511215,400,265.221428
-21.844417,400,267.112011
446.062278,216,267.606623
44.934564,400,269.503091
82.199398,400,271.507439
368.596473,203,271.929104
233.308523,1,271.967721
137.914756,400,273.925435
-35.575879,400,275.828464
-29.988829,400,277.670127
233.308523,1,277.709416
889.660747,400,278.589872
-2.092834,400,280.591031
233.308523,1,280.629845
238.501978,400,282.628791
410.013215,217,283.069414
425.789619,228,284.60978
-44.432556,36,284.734787
-24.957998,28,284.815862
540.100716,400,286.764885
280.973732,400,287.64046
-124.156993,334,289.489798
233.308523,1,289.528061
233.308523,1,289.565893
779.573476,400,291.796839
-96.013772,260,292.305124
-11.450999,365,294.429841
-2.40791,384,296.564982
544.323806,400,298.743237
-98.769181,255,299.191272
263.001857,400,301.414854
233.308523,1,301.453317
233.308523,1,301.490705
-63.297625,400,303.750355
77.153277,400,304.641696
1586.147549,368,306.759195
233.308523,1,306.798429
1582.03495,366,308.899948
347.784156,241,309.410854
-135.650748,400,311.557094
910.742408,400,313.764676
212.371423,1,313.803283
-25.448061,400,315.988009
441.979451,400,316.848338
-5.383855,326,318.696077
233.17233,1,318.73434
-43.033739,400,321.150106
-40.242816,400,323.047479
-28.124698,47,323.171867
287.124039,400,325.436908
899.850932,400,326.313807
586.413268,400,328.730783
-20.245809,18,328.799985
-43.664639,400,331.258295
88.992026,400,333.774502
346.824144,191,334.199637
109.63172,400,336.159532
-5.830654,400,338.087953
18.618872,318,338.746425
-45.068566,400,340.64953
5.503919,359,342.450415
606.892553,400,344.360051
233.308523,1,344.398633
-0.314828,391,345.262666
-23.130517,25,345.378152
27.418176,284,346.959826
-39.853659,400,348.798997
586.619659,400,349.552639
555.672717,400,351.527472
-51.69866,177,352.956171
-130.989704,360,353.69315
-99.971984,400,355.665676
686.517676,400,357.544672
225.567512,1,357.583183
907.993159,400,359.533532
4.387971,372,360.367303
267.373344,400,362.271118
276.237274,400,364.102285
-189.31968,400,366.021146
-264.74515,400,366.974238
-99.069388,258,368.55751
224.488864,1,368.598344
38.597365,329,370.41977
-107.864405,373,371.194256
35.834301,400,373.12421
305.918369,400,375.063518
357.888689,189,375.517693
292.026627,400,377.358519
845.905152,400,379.259847
720.064346,400,381.203865
1479.268347,400,381.978483
225.373907,1,382.017153
233.308523,1,382.054971
227.59795,1,382.09206
43.966662,288,383.795402
-25.008705,400,385.704222
233.308523,1,385.742671
-113.123385,385,387.731173
451.892292,250,388.194071
919.293895,400,390.105741
809.404134,400,392.092138
441.161406,302,392.779171
267.338964,400,394.644261
-22.874667,12,394.734867
1152.232638,400,396.602483
229.927,1,396.64083
-324.312906,400,398.598109
233.308523,1,398.636576
227.886733,1,398.673862
-42.855284,400,399.560331
-279.146119,400,401.427107
895.321804,400,403.305445
420.188191,289,403.931897
219.670213,1,403.972407
-37.964518,166,405.347595
-86.518794,400,407.233502
703.851723,400,408.101676
-86.588745,400,410.026664
-356.101012,400,411.993975
38.577447,303,412.703
-380.779148,400,414.719306
15.182934,327,416.483765
929.392947,400,418.327715
-88.216941,400,419.214482
921.987432,400,421.057997
233.308523,1,421.096684
233.308523,1,421.134303
40.818262,301,422.891858
233.308523,1,422.930285
35.834119,250,423.528717
23.652346,292,425.19147
147.696928,400,427.033838
1471.594559,400,427.925823
38.747812,146,429.298237
645.702443,400,431.268777
279.523644,400,432.032936
-55.139495,235,433.645171
-253.081799,400,435.476685
-56.399513,400,436.337644
-58.831687,400,438.188452
-93.022297,400,440.217384
8.103152,387,442.154707
303.099589,400,442.963558
119.526104,273,444.577028
-209.791898,400,446.57137
951.591264,400,448.532744
860.718252,400,449.326463
-21.952888,9,449.379978
233.308523,1,449.417687
-6.080207,22,449.494443
913.573368,400,451.411222
213.709956,1,451.450252
915.394775,400,453.394742
-38.256763,400,455.286355
-92.892457,400,457.245779
514.346758,268,457.834495
233.308523,1,457.872653
-2.43349,27,457.993442
424.048078,229,459.596376
226.977456,1,459.63602
-46.331217,400,460.508915
27.112697,23,460.589838
69.306378,400,462.533852
-45.48117,400,464.414491
400.177082,211,464.879959
233.308523,1,464.918583
1181.300072,363,466.712031
1336.987525,400,468.541795
1.851736,400,470.363423
429.825794,225,470.856194
233.308523,1,470.894709
7.776122,400,472.728584
421.116164,227,473.140286
-35.401684,400,474.975571
-42.710429,400,476.839129
1190.180394,400,478.811836
26.408906,301,479.368005
537.663825,400,481.317291
896.917051,400,483.227153
497.644365,400,485.095091
-29.574298,400,485.854783
586.344428,400,487.770687
39.90063,216,489.334698
681.999954,400,490.162654
528.686213,400,492.046173
-23.529353,20,492.15278
382.261819,200,493.6545
233.308523,1,493.692822
47.79303,225,494.132488
207.514689,1,494.170986
-21.216084,400,496.160938
-16.222621,6,496.20854
-37.365322,400,498.276152
235.368033,400,499.023757
-29.204595,400,500.922917
155.660705,336,502.675045
397.979787,210,503.494832
233.308523,1,503.533695
295.148703,400,505.402724
434.601224,228,505.96849
1557.967017,355,507.730176
-106.523699,400,509.653599
233.308523,1,509.691965
1426.170036,400,511.631502
821.663982,400,512.515349
40.008153,292,514.174501
-35.281842,400,516.037911
17.010029,389,517.929374
-28.129808,400,518.771431
-21.970743,400,520.64065
48.693371,400,522.529214
421.218822,226,523.082063
-25.767234,400,524.94173
1540.098762,400,526.786976
233.277834,1,526.825686
1227.973679,351,528.72421
-27.583465,400,529.599587
463.803518,400,531.552207
-23.458542,21,531.622996
49.233246,400,533.467743
322.135674,400,535.337038
-63.623659,135,535.610969
-32.762855,400,537.421575
-22.267704,13,537.478965
335.422876,400,539.413655
-28.36589,400,540.170013
62.333219,400,542.102267
440.159719,232,543.734546
-14.365183,400,544.609234
711.296321,400,546.462787
769.694704,400,548.317676
-21.108319,400,550.162896
-27.971241,400,551.95983
-173.919414,400,552.840708
-138.105436,400,554.68764
396.183234,207,555.16731
-30.183342,400,557.005207
1456.639059,330,558.735588
48.758025,351,560.496126
-4.463941,400,561.253066
431.67872,238,562.832027
-218.02876,400,564.670558
