#{"t_start": 1765854108.7559495, "env_id": "None"}
r,l,t
265.473176,157,1047.545818
-11.061941,400,1054.09058
-19.332031,400,1060.561028
260.648418,146,1062.785898
-26.551312,300,1067.604692
1047.870744,300,1072.456573
258.764159,146,1074.86476
-20.23704,1,1074.915386
888.932857,400,1081.351979
232.647971,1,1081.401649
-45.062325,341,1086.962017
246.483615,148,1089.393801
232.394589,1,1089.443948
-43.225546,341,1094.429444
232.560814,1,1094.477419
71.34952,150,1096.604295
-9.477914,400,1102.205805
1065.443728,300,1106.628191
-21.360459,4,1106.78125
17.750556,341,1111.76737
-51.00222,341,1116.784686
232.699824,138,1118.845239
248.480052,147,1121.105419
229.45359,1,1121.153428
322.616864,212,1124.249393
232.698152,1,1124.29803
900.573104,400,1130.139241
256.676951,146,1132.143056
504.628842,264,1135.988976
348.744493,221,1139.239611
-23.195511,300,1143.558889
226.144952,138,1145.700884
453.042383,300,1150.105652
303.032238,400,1156.08877
295.669189,185,1158.765109
25.042838,341,1163.915072
48.510986,146,1166.001096
316.267912,179,1168.470052
243.817184,150,1170.670974
419.360865,300,1174.954188
-26.664289,300,1179.355409
605.372291,400,1185.406478
445.418408,300,1189.967248
250.342002,146,1192.047922
-31.505403,341,1197.136115
229.011897,1,1197.196037
-10.790373,52,1197.943561
439.071467,300,1202.167184
438.790874,300,1206.786879
-0.644819,400,1212.683917
294.161329,182,1215.517457
-140.194497,226,1218.83091
-35.150449,341,1223.89953
228.65871,1,1223.950261
-0.332037,81,1225.176842
-35.069237,341,1230.248798
651.663795,400,1236.11264
-30.809719,341,1241.500976
229.781842,1,1241.549755
-60.782974,300,1246.017915
242.89255,166,1248.470374
-37.911466,341,1253.531631
381.322538,295,1257.958747
-61.094405,300,1262.629857
292.206944,165,1265.124303
664.627623,400,1271.046906
1050.669866,300,1275.425581
-45.760731,300,1279.911995
310.568573,400,1285.87783
384.301103,300,1290.818083
228.425754,1,1290.868315
282.805027,160,1293.557943
278.680593,158,1296.201061
230.103409,141,1298.573674
-40.274382,341,1304.150509
32.808359,153,1306.622704
634.324658,316,1311.892125
28.96587,155,1314.437164
896.276254,400,1320.898858
-7.743593,300,1325.837803
251.228715,161,1328.457006
7.2347,400,1334.543544
312.413789,400,1341.096673
-35.56164,341,1346.71603
339.090893,400,1353.436087
-82.801792,255,1357.648457
-47.328494,341,1363.071415
19.358306,341,1368.72911
0.829869,400,1375.383539
-20.043099,2,1375.449955
11.560184,341,1381.134286
254.645217,145,1383.548216
229.015643,1,1383.598396
894.124425,400,1390.143489
24.26003,26,1390.628356
346.988996,400,1396.873863
622.681049,300,1401.66911
-30.265132,29,1402.100345
7.369777,13,1402.314626
-61.446061,341,1407.695981
254.927114,147,1410.095237
3.496643,400,1416.125041
-63.595797,341,1421.471561
-85.775057,281,1425.893664
244.788046,141,1428.297171
238.971891,139,1430.661614
242.208636,161,1433.007678
-1.781879,400,1439.458808
226.408389,1,1439.509308
226.945866,1,1439.558928
7.235307,400,1446.006005
267.008456,150,1448.250515
1046.261674,300,1452.868783
250.952832,140,1455.17996
262.349887,138,1457.466371
1025.226722,300,1462.370928
-35.081605,341,1467.99106
-59.939504,341,1473.587987
253.091149,141,1475.697672
262.616751,148,1477.784605
1.485897,300,1482.502516
226.974435,1,1482.550853
1036.851801,300,1487.426517
249.177832,139,1489.742455
-87.77105,300,1494.713387
35.20974,151,1497.262265
616.679897,300,1502.088018
319.531356,400,1508.489504
889.692024,400,1514.802036
21.10761,341,1520.421347
-7.148783,300,1525.44701
-5.904987,300,1530.41577
-22.759263,300,1535.320471
-22.881925,34,1535.925082
-48.705494,83,1537.345339
333.805291,400,1543.893197
163.906079,272,1548.47135
-187.763979,302,1553.463979
-41.726098,341,1559.070488
60.98313,151,1561.561164
225.453276,1,1561.611513
28.32255,155,1564.204256
301.113475,169,1566.961339
-24.995229,300,1571.875794
305.048358,174,1574.512699
394.914227,232,1578.339274
12.583365,341,1583.566844
70.332614,150,1586.032646
264.723169,138,1588.034912
343.083913,193,1591.007069
-34.222822,341,1596.077529
405.244276,215,1599.218939
-13.873014,300,1603.830729
-17.534009,300,1608.357296
249.727584,151,1610.742498
532.361307,272,1614.805313
-35.20072,341,1619.894994
24.32257,341,1624.975238
409.928249,228,1628.238166
-11.882405,300,1632.711169
255.955921,152,1635.138492
169.463105,313,1639.688078
-33.319379,260,1643.565968
-12.476845,300,1648.373622
226.327431,1,1648.423486
253.653752,400,1654.165131
355.199124,195,1657.068368
