#{"t_start": 1765854108.7559648, "env_id": "None"}
r,l,t
-79.895754,341,68.946008
-111.184641,400,69.57937
-87.319504,341,70.125145
-73.532922,300,73.542618
63.1268,341,78.298756
-62.950677,341,83.505693
-74.387037,341,89.049651
-34.101022,400,95.136973
-54.228467,341,100.544087
971.782421,300,105.222094
836.465559,400,111.376845
-38.074048,341,116.51173
-24.530382,12,116.732073
-14.84987,300,121.351497
228.157627,1,121.399949
-33.046295,53,122.248496
-76.127495,341,127.64658
230.090036,1,127.695131
1054.101273,300,132.328954
672.419801,343,137.33108
-15.497859,400,143.657502
-42.139166,341,149.015181
-36.203118,341,154.31092
41.861871,311,159.317886
-36.389035,341,164.825687
-59.957159,341,170.309168
-29.231326,341,175.728252
-18.787358,2,175.793414
-10.948598,400,182.237421
254.673162,142,184.579988
-25.903236,341,190.060829
885.828369,400,195.823788
233.103003,1,195.869918
-26.184153,21,196.266618
96.427674,234,199.990478
339.271155,216,203.491497
-56.875741,341,208.955664
233.087737,1,209.004191
232.731634,1,209.052315
-7.107955,300,213.677086
-53.71761,138,215.899564
160.591974,286,220.528056
-136.382443,297,225.39283
-39.945154,341,230.816665
870.921378,300,235.703243
-19.920738,400,241.952778
-27.695885,341,247.413451
-69.439823,370,253.17712
-64.531003,166,255.546088
-24.07997,24,255.898427
288.766048,186,258.837143
252.598966,144,261.192683
32.010547,341,266.713317
-25.204212,341,272.267053
-53.347743,184,275.251739
-77.747298,214,278.789624
907.579412,400,285.21367
268.037631,145,287.517877
14.118273,400,294.069126
908.215618,400,300.249276
-20.32216,300,304.888721
380.170777,196,308.019134
232.382063,1,308.067533
-27.124596,43,308.787445
-25.882023,341,313.89416
229.891195,1,313.940151
163.74605,300,318.427555
229.774963,1,318.476426
-35.264145,341,324.070711
274.13896,152,326.502405
18.084184,18,326.818841
6.64998,13,327.059237
-20.6759,6,327.187321
-5.424243,300,332.081314
-3.59376,400,338.572271
25.893334,185,341.669175
277.94083,287,346.22104
3.505075,300,350.909624
-26.356538,25,351.34013
142.07095,341,356.833963
761.315754,300,361.818989
238.361395,395,368.274292
249.38475,135,370.454446
-14.031577,400,376.300801
-33.427595,341,381.848707
260.740535,145,384.145172
-22.146736,9,384.321018
-22.912089,300,389.218397
241.047921,242,393.167856
0.935617,300,397.904339
347.230285,400,404.425474
243.091726,138,406.612609
7.057038,300,411.481508
-56.764708,259,415.659336
-3.665704,300,420.559751
-26.034128,300,425.450699
2.137401,400,431.984603
36.61179,157,434.526561
268.540889,254,438.606578
253.658133,148,441.027466
1.304013,300,445.911655
-2.859345,300,450.823855
-71.970063,258,455.107145
-17.304391,300,459.994522
220.117446,172,462.819336
256.944605,144,465.167761
-59.924384,321,470.412523
4.051704,400,476.902634
232.611204,1,476.952353
-39.114527,341,482.627336
-25.127592,341,488.209189
232.761957,1,488.257627
-41.296961,335,493.710982
210.033251,163,496.042911
-16.665043,300,500.856701
880.418922,400,507.330311
-11.805564,4,507.4282
-21.939609,341,513.135118
3.793469,300,517.919
232.760742,1,517.968411
681.585991,280,522.638227
2.045519,400,529.201634
-10.528325,286,533.923813
232.950008,1,533.972622
232.504179,1,534.021548
-18.001031,1,534.068628
171.661856,299,538.902243
882.574648,400,545.529768
1.397396,400,551.846321
232.952134,1,551.895212
-4.773641,341,557.493577
258.910982,145,559.934253
4.878088,400,566.488513
-50.665026,341,572.068905
258.90673,146,574.473356
188.288774,139,576.906971
-20.809614,2,576.973796
248.761239,149,579.641066
-52.688094,341,585.586375
-141.89925,337,591.533237
245.89028,148,594.119009
328.627343,300,599.412762
-29.30357,341,605.325681
-133.862896,270,609.859903
232.712599,1,609.911039
-12.478161,400,616.849422
1022.887436,300,622.177613
-22.118084,300,627.37351
