#{"t_start": 1765854108.755937, "env_id": "None"}
r,l,t
219.738832,1,68.492772
-87.987501,300,68.867283
-83.309541,341,69.385238
-95.60649,300,69.874168
-83.119126,300,70.368095
-17.113595,341,76.153208
-36.854952,300,80.698321
-50.00498,341,86.084783
-66.865103,341,91.340571
-54.901834,341,96.692996
37.560762,300,101.51475
229.439463,1,101.564217
-19.469315,400,107.704281
-32.601458,48,108.468776
233.253327,1,108.517219
-20.748538,400,114.60857
1036.814502,300,119.280039
-54.173108,341,124.558019
-24.633662,300,129.312001
194.108948,209,132.508409
-10.219181,300,136.767887
-24.482474,12,136.987192
-75.815701,361,142.71463
32.893156,341,148.078876
-14.471894,300,152.721712
236.708004,152,155.155363
232.559286,1,155.204464
246.801049,154,157.689059
-40.242037,341,163.136813
-42.747704,341,168.623429
-32.660925,341,174.085747
885.77386,400,180.511099
-7.176241,300,185.423455
215.722433,1,185.47223
-5.050803,400,191.814884
233.071255,1,191.86116
875.389245,400,197.705185
-18.702022,2,197.769704
41.342529,29,198.251175
-0.585293,300,203.023324
-64.448404,140,205.325333
-24.590101,15,205.592484
-22.393067,341,210.888596
401.14388,341,216.379375
105.791895,114,218.217214
54.393287,341,223.702628
232.772522,1,223.751179
4.232555,37,224.360251
-33.306591,341,229.808324
-65.104692,252,233.925424
-10.180178,400,240.280288
887.755233,400,246.589319
-28.724008,341,251.964835
232.774838,1,252.012076
255.675174,136,254.021303
-35.692567,341,259.216951
257.516033,136,261.450035
291.056611,166,264.14678
-66.578445,186,267.156224
-24.89151,199,270.382243
259.246718,137,272.614985
232.904894,1,272.663305
-40.805617,341,278.192474
-139.182917,321,283.331061
-15.769395,300,288.182517
260.806921,138,290.451371
265.548032,148,292.848855
375.472529,200,296.086612
877.761993,400,302.123194
-53.906108,287,306.650949
262.474465,139,309.012772
264.20422,141,311.171538
-23.883563,19,311.486223
256.139826,146,313.548057
82.624332,341,318.762428
278.156308,152,321.225108
903.985733,400,327.820855
-22.324699,11,328.030387
-43.842526,341,333.528797
229.356264,1,333.577865
230.092665,1,333.626016
5.204219,31,334.179218
38.338889,341,339.680574
335.312393,400,346.049667
229.808819,1,346.095687
121.825454,341,351.583197
-26.592782,29,352.083228
-42.978639,341,357.530939
229.910531,1,357.580567
33.669288,154,360.073904
152.819821,341,365.649765
-13.037781,300,370.550203
765.747814,300,374.961354
313.253197,341,380.250995
206.745304,354,386.023832
229.422222,1,386.072367
55.280443,180,388.948959
482.875621,232,392.703318
-6.875846,400,399.149083
52.197327,152,401.640441
-45.102689,341,407.122347
232.358576,1,407.170952
-44.362343,341,412.650692
-104.872675,260,416.876479
-41.572973,341,422.425574
-101.518124,224,426.087101
47.739453,157,428.61262
232.616494,1,428.661241
223.130123,117,430.546805
252.622886,146,432.960057
263.425864,143,435.291887
334.324609,400,441.741183
-36.640401,341,447.32088
894.993078,300,452.193007
229.866169,1,452.242113
237.627286,148,454.678793
99.495514,131,456.833511
-40.611873,341,462.390821
-35.116792,341,468.031667
10.948671,400,474.520857
177.148107,319,479.765574
206.870536,1,479.814958
58.863204,152,482.288867
164.568798,298,487.161068
189.343822,300,492.088171
244.360012,146,494.440732
903.343381,400,500.586411
-29.844001,189,503.652447
655.332441,271,508.105817
44.551527,150,510.560457
267.118166,147,513.053999
1.05254,400,519.621583
-35.864717,23,520.021188
8.100734,300,524.923773
449.921127,217,528.433132
-41.321628,304,533.473964
-17.782173,341,539.145819
254.746667,147,541.571512
233.071898,1,541.621431
319.396647,191,544.704265
39.909588,300,549.642001
232.938703,1,549.691029
578.002382,250,553.590502
248.86445,143,555.929801
-5.472913,300,560.911177
880.4535,400,567.467597
-53.250885,294,572.29514
351.997803,400,579.191892
-48.757133,244,583.494363
250.422124,146,586.038872
244.47677,144,588.578092
-42.411831,341,594.576542
260.335236,141,597.018712
260.764835,146,599.649019
-10.526418,341,605.552432
-6.761483,400,612.325989
-142.389843,296,617.542931
232.85502,1,617.591756
220.215302,153,620.234355
345.261795,300,625.507486
343.966248,400,632.532846
42.100296,151,635.231611
-33.257096,341,641.174486
-28.851315,341,647.046088
322.331461,300,652.491929
232.821191,1,652.54073
11.891212,400,659.018702
-1.356709,300,664.698564
-6.904174,21,665.113794
-63.443278,341,671.464009
239.818647,376,678.41048
-59.066751,98,680.212112
1046.221608,300,685.222328
48.834705,149,687.692513
232.397536,1,687.741419
912.28909,400,694.308811
905.880374,400,700.789594
-10.951716,400,707.131057
892.368006,400,713.662163
523.634607,265,718.005682
246.187503,400,724.614307
-6.303862,400,731.080189
-42.613891,341,736.67591
225.717477,1,736.724989
-45.858641,341,742.379528
668.764598,334,747.874345
-7.049064,300,752.738712
294.896836,162,755.461267
-56.190822,341,761.039725
240.927577,341,766.680668
184.617629,400,773.213759
356.508649,400,779.746049
293.787646,400,786.310869
755.036754,379,792.390979
256.548439,147,794.598094
208.889217,400,800.736609
1053.319244,300,805.252776
262.877951,149,807.293666
348.199202,400,813.990651
