#{"t_start": 1765854108.755945, "env_id": "None"}
r,l,t
-16.351318,300,68.833584
-38.211228,341,69.351704
-85.852762,341,69.959928
54.454109,300,72.273126
-61.408205,341,76.79151
-38.768317,400,82.831545
-25.103331,300,87.732736
773.24081,300,92.294276
128.560088,400,98.576792
230.12836,1,98.626101
-51.800194,341,104.050655
-47.978961,341,109.323473
38.17303,341,114.454142
-48.855319,341,119.77384
-41.043361,341,125.088286
280.918984,400,131.410085
165.576992,210,134.300659
232.938831,1,134.347354
232.955604,1,134.393832
-36.323679,341,139.624421
-38.78343,341,145.014095
35.813589,341,150.276531
-25.660516,24,150.633602
288.350711,300,155.471399
908.401752,400,161.863298
-36.494467,341,167.309971
233.129802,1,167.361101
-30.442086,341,172.817907
-30.208404,224,176.504871
-13.216254,400,182.886886
233.129332,1,182.93701
338.529596,300,187.807583
-98.198185,386,193.688702
-5.779195,174,196.155571
-8.317237,400,202.571146
257.482026,139,204.860966
5.758307,400,211.170333
327.8369,400,217.578593
-117.146662,337,222.968561
36.446408,28,223.438392
-44.894053,265,227.772592
-119.171068,268,232.124282
379.433425,202,235.344138
24.869237,400,241.591955
257.618599,136,243.818656
-22.09191,300,248.651755
104.80579,341,253.824078
891.996541,400,259.986054
284.907963,158,262.607467
513.241087,258,266.726904
218.897903,116,268.629127
263.839915,140,270.916427
-20.401888,341,276.467757
-24.274838,29,276.960063
-57.321652,307,281.883569
903.280952,400,288.358129
-6.564886,300,293.241079
369.962875,400,299.527339
-13.077531,400,305.676483
-0.767601,400,312.052139
-32.381017,341,316.933696
33.131057,26,317.372784
-4.538557,400,323.876906
232.567523,1,323.927298
-4.785362,300,328.973961
-4.942312,300,333.846168
34.118893,300,338.670259
232.466003,1,338.719509
896.044738,400,345.111698
15.153795,400,351.534019
232.778696,1,351.595997
-42.897342,341,357.042267
258.847386,145,359.421735
268.251699,141,361.70817
263.610545,143,364.051022
264.440302,147,366.482939
-17.884703,1,366.531886
238.581623,158,369.074327
-46.483512,341,374.260827
872.984884,300,378.812545
0.812983,400,385.297601
903.56469,400,391.790139
-3.518774,400,398.22266
-26.052531,400,404.744068
230.294497,1,404.793593
-39.770372,341,410.22788
-37.238392,341,415.756856
53.811613,156,418.282054
-58.391188,278,422.84193
5.028475,31,423.362037
749.288897,372,429.395141
-43.88387,341,434.947098
-42.41103,341,440.428751
-37.097261,82,441.822594
-113.819744,270,446.205932
-42.301745,216,449.719171
816.330505,300,454.628687
7.735157,300,459.550864
-16.446689,300,464.469518
258.965021,145,466.840118
46.595728,300,471.761689
907.241729,400,478.340286
-18.838966,300,483.295732
897.260945,300,488.161589
-14.226583,341,493.806183
902.712904,400,499.864623
906.370943,400,506.370561
948.141484,300,511.366581
-36.186262,341,516.897408
258.946151,145,519.349937
56.939418,40,520.087113
320.760583,300,524.990758
1.432123,300,529.894465
256.977688,145,532.232001
4.947919,400,538.838678
259.000022,145,541.268704
349.493474,400,547.842146
-72.163056,353,553.444407
443.947665,300,558.391202
-13.979821,3,558.472742
-24.093879,300,563.400569
260.782345,146,565.753508
2.209186,26,566.202689
-54.004079,266,570.601894
